366
using device: cuda
Iteration 0, loss = 0.0482
Iteration 1080, loss = 0.0002

Iteration 1085, loss = 0.0002

Iteration 1090, loss = 0.0002

Iteration 1095, loss = 0.0002

Iteration 1100, loss = 0.0002

Iteration 1105, loss = 0.0002

Iteration 1110, loss = 0.0002

Iteration 1115, loss = 0.0002

Iteration 1120, loss = 0.0002

Iteration 1125, loss = 0.0002

Iteration 1130, loss = 0.0003

Iteration 1135, loss = 0.0003

Iteration 1140, loss = 0.0002

Iteration 1145, loss = 0.0002

Iteration 1150, loss = 0.0002

Iteration 1155, loss = 0.0002

Iteration 1160, loss = 0.0002

Iteration 1165, loss = 0.0002

Iteration 1170, loss = 0.0002

Iteration 1175, loss = 0.0001

Iteration 1180, loss = 0.0002

Iteration 1185, loss = 0.0002

Iteration 1190, loss = 0.0001

Iteration 1195, loss = 0.0002

Iteration 1200, loss = 0.0002

Iteration 1205, loss = 0.0002

Iteration 1210, loss = 0.0001

Iteration 1215, loss = 0.0002

Iteration 1220, loss = 0.0002

Iteration 1225, loss = 0.0003

Iteration 1230, loss = 0.0002

Iteration 1235, loss = 0.0002

Iteration 1240, loss = 0.0002

Iteration 1245, loss = 0.0002

Iteration 1250, loss = 0.0001

Iteration 1255, loss = 0.0001

Iteration 1260, loss = 0.0002

Iteration 1265, loss = 0.0002

Iteration 1270, loss = 0.0003

Iteration 1275, loss = 0.0002

Iteration 1280, loss = 0.0001

Iteration 1285, loss = 0.0002

Iteration 1290, loss = 0.0002

Iteration 1295, loss = 0.0002

Iteration 1300, loss = 0.0001

Iteration 1305, loss = 0.0002

Iteration 1310, loss = 0.0001

Iteration 1315, loss = 0.0001

Iteration 1320, loss = 0.0002

Iteration 1325, loss = 0.0002

Iteration 1330, loss = 0.0001

Iteration 1335, loss = 0.0002

Iteration 1340, loss = 0.0002

Iteration 1345, loss = 0.0002

Iteration 1350, loss = 0.0001

Iteration 1355, loss = 0.0002

Iteration 1360, loss = 0.0003

Iteration 1365, loss = 0.0002

Iteration 1370, loss = 0.0002

Iteration 1375, loss = 0.0002

Iteration 1380, loss = 0.0001

Iteration 1385, loss = 0.0002

Iteration 1390, loss = 0.0002

Iteration 1395, loss = 0.0001

Iteration 1400, loss = 0.0002

Iteration 1405, loss = 0.0001

Iteration 1410, loss = 0.0002

Iteration 1415, loss = 0.0001

Iteration 1420, loss = 0.0003

Iteration 1425, loss = 0.0001

Iteration 1430, loss = 0.0001

Iteration 1435, loss = 0.0002

Iteration 1440, loss = 0.0003

Iteration 1445, loss = 0.0001

Iteration 1450, loss = 0.0001

Iteration 1455, loss = 0.0001

Iteration 1460, loss = 0.0002

Iteration 1465, loss = 0.0002

Iteration 1470, loss = 0.0001

Iteration 1475, loss = 0.0001

Iteration 1480, loss = 0.0001

Iteration 1485, loss = 0.0001

Iteration 1490, loss = 0.0001

Iteration 1495, loss = 0.0001

Iteration 1500, loss = 0.0002

Iteration 1505, loss = 0.0001

Iteration 1510, loss = 0.0001

Iteration 1515, loss = 0.0001

Iteration 1520, loss = 0.0001

Iteration 1525, loss = 0.0001

Iteration 1530, loss = 0.0002

Iteration 1535, loss = 0.0001

Iteration 1540, loss = 0.0002

Iteration 1545, loss = 0.0002

Iteration 1550, loss = 0.0001

Iteration 1555, loss = 0.0001

